Year,January,February,March,April,May,June,July,August,September,October,November,December
2021,70056,98754,140236,111179,132536,144331,136643,198763,155824,165267,133998,118405
2022,118361,123561,121817,114714,124003,102876,183994,240481,171595,151199,132094,101233
2023,78086,86976,76763,50544,51778,63153,46487,66943,85093,87260,102111,113688
2024,99946,87064,110826,93208,80058,55082,82164,57024,61157,63391,82329,
